,airline_name,crawling_date,departure_airport,destination_airport,date,travel_duration,departure_time,arrival_time,transit,transit_duration,price
172,Lufthansa,24-08-2024,Frankfurt,Hamburg,25-08-2024,01:05,06:30,07:35,False,00:00,241.08
173,Lufthansa,24-08-2024,Frankfurt,München,25-08-2024,00:55,07:15,08:10,False,00:00,189.0
174,Lufthansa,24-08-2024,Frankfurt,London,25-08-2024,01:25,16:50,17:15,False,00:00,235.73
175,Lufthansa,24-08-2024,Frankfurt,Palma de Mallorca,25-08-2024,02:10,04:50,07:00,False,00:00,315.98
176,Lufthansa,24-08-2024,Frankfurt,Istanbul,25-08-2024,03:00,09:05,13:05,False,00:00,243.65
177,Lufthansa,24-08-2024,Frankfurt,Dubai,25-08-2024,06:30,14:05,22:35,False,00:00,997.5
178,Lufthansa,24-08-2024,Frankfurt,New York,25-08-2024,12:05,06:40,12:45,True,02:25,1600.63
179,Lufthansa,24-08-2024,Frankfurt,Shanghai,25-08-2024,12:15,15:00,09:15,False,00:00,1521.76
180,Lufthansa,25-08-2024,Frankfurt,Berlin,26-08-2024,01:10,11:45,12:55,False,00:00,333.6
181,Lufthansa,25-08-2024,Frankfurt,Hamburg,26-08-2024,01:05,20:15,21:20,False,00:00,313.08
182,Lufthansa,25-08-2024,Frankfurt,München,26-08-2024,00:55,12:15,13:10,False,00:00,369.0
183,Lufthansa,25-08-2024,Frankfurt,London,26-08-2024,01:25,16:00,16:25,False,00:00,295.73
184,Lufthansa,25-08-2024,Frankfurt,Palma de Mallorca,26-08-2024,02:05,10:20,12:25,False,00:00,315.98
185,Lufthansa,25-08-2024,Frankfurt,Istanbul,26-08-2024,03:00,09:05,13:05,False,00:00,243.65
186,Lufthansa,25-08-2024,Frankfurt,Dubai,26-08-2024,11:15,07:50,21:05,True,03:55,1019.91
187,Lufthansa,25-08-2024,Frankfurt,New York,26-08-2024,11:50,10:25,16:15,True,02:00,1596.78
188,Lufthansa,25-08-2024,Frankfurt,Shanghai,26-08-2024,17:15,07:50,07:05,True,04:15,1530.17
189,Lufthansa,26-08-2024,Frankfurt,Berlin,27-08-2024,01:10,14:45,15:55,False,00:00,333.6
190,Lufthansa,26-08-2024,Frankfurt,Hamburg,27-08-2024,01:05,21:15,22:20,False,00:00,407.08
191,Lufthansa,26-08-2024,Frankfurt,München,27-08-2024,00:55,15:15,16:10,False,00:00,369.0
192,Lufthansa,26-08-2024,Frankfurt,London,27-08-2024,01:25,06:50,07:15,False,00:00,235.73
193,Lufthansa,26-08-2024,Frankfurt,Palma de Mallorca,27-08-2024,02:05,10:20,12:25,False,00:00,315.98
194,Lufthansa,26-08-2024,Frankfurt,Istanbul,27-08-2024,03:00,09:05,13:05,False,00:00,243.65
195,Lufthansa,26-08-2024,Frankfurt,Dubai,27-08-2024,11:15,07:50,21:05,True,03:55,1019.91
196,Lufthansa,26-08-2024,Frankfurt,New York,27-08-2024,11:30,07:50,13:20,True,01:25,1600.63
197,Lufthansa,26-08-2024,Frankfurt,Shanghai,27-08-2024,12:15,15:00,09:15,False,00:00,1521.76
198,Lufthansa,27-08-2024,Frankfurt,Berlin,28-08-2024,01:10,14:45,15:55,False,00:00,333.6
199,Lufthansa,27-08-2024,Frankfurt,Hamburg,28-08-2024,01:05,20:15,21:20,False,00:00,313.08
200,Lufthansa,27-08-2024,Frankfurt,München,28-08-2024,00:55,15:15,16:10,False,00:00,369.0
201,Lufthansa,27-08-2024,Frankfurt,London,28-08-2024,01:25,16:00,16:25,False,00:00,295.8
202,Lufthansa,27-08-2024,Frankfurt,Palma de Mallorca,28-08-2024,02:10,13:05,15:15,False,00:00,315.98
203,Lufthansa,27-08-2024,Frankfurt,Istanbul,28-08-2024,03:00,09:05,13:05,False,00:00,243.65
204,Lufthansa,27-08-2024,Frankfurt,Dubai,28-08-2024,06:30,14:05,22:35,False,00:00,1011.49
205,Lufthansa,27-08-2024,Frankfurt,New York,28-08-2024,10:55,07:50,12:45,True,01:15,1600.41
206,Lufthansa,27-08-2024,Frankfurt,Shanghai,28-08-2024,12:15,15:00,09:15,False,00:00,1521.76
207,Lufthansa,28-08-2024,Frankfurt,Berlin,29-08-2024,01:10,12:45,13:55,False,00:00,333.6
208,Lufthansa,28-08-2024,Frankfurt,Hamburg,29-08-2024,01:05,20:15,21:20,False,00:00,313.08
209,Lufthansa,28-08-2024,Frankfurt,München,29-08-2024,00:55,13:15,14:10,False,00:00,369.0
210,Lufthansa,28-08-2024,Frankfurt,London,29-08-2024,01:25,06:50,07:15,False,00:00,290.8
211,Lufthansa,28-08-2024,Frankfurt,Palma de Mallorca,29-08-2024,02:10,13:05,15:15,False,00:00,315.98
212,Lufthansa,28-08-2024,Frankfurt,Istanbul,29-08-2024,03:00,09:05,13:05,False,00:00,243.65
213,Lufthansa,28-08-2024,Frankfurt,Dubai,29-08-2024,11:15,07:50,21:05,True,03:55,1019.92
214,Lufthansa,28-08-2024,Frankfurt,New York,29-08-2024,10:55,07:50,12:45,True,01:15,1600.5
215,Lufthansa,28-08-2024,Frankfurt,Shanghai,29-08-2024,12:15,15:00,09:15,False,00:00,1521.76
216,Lufthansa,29-08-2024,Frankfurt,Berlin,30-08-2024,01:10,09:45,10:55,False,00:00,282.6
217,Lufthansa,29-08-2024,Frankfurt,Hamburg,30-08-2024,01:05,20:15,21:20,False,00:00,313.08
218,Lufthansa,29-08-2024,Frankfurt,München,30-08-2024,00:55,20:15,21:10,False,00:00,317.0
219,Lufthansa,29-08-2024,Frankfurt,London,30-08-2024,01:25,06:50,07:15,False,00:00,453.84
220,Lufthansa,29-08-2024,Frankfurt,Palma de Mallorca,30-08-2024,02:10,09:05,11:15,False,00:00,315.98
